device,rmean,length,model,error,std,srate,q75,q90
all,4,1,0,0.3280464876819074,0.24297089485447332,1.0,0.4730795265198726,0.6665972703920344
a650,5,1,0,0.32659253936797317,0.24225622230096577,1.0,0.46954842798218266,0.6725023756990292
38b8,5,1,0,0.32936793145148263,0.24459248285732269,0.7539267015706806,0.47205279082883495,0.6578112596360899
14df,5,1,0,0.3021775533010861,0.23649894188727985,1.0,0.4435869242305678,0.6345566841294251
d884,5,1,0,0.32713958128340703,0.24683752034657147,1.0,0.4719795512544569,0.6711310823326909
all,5,1,0,0.32686687162670175,0.24604129425087592,1.0,0.4740482607244836,0.6666095600535231
a650,6,1,0,0.318118174700069,0.23994334794658834,1.0,0.45648496182688164,0.6619448385673328
38b8,6,1,0,0.3298269669442319,0.2500258767208814,0.7539267015706806,0.47580836499846796,0.6706618169427021
14df,6,1,0,0.30228803965618156,0.23421075189846408,1.0,0.4392015531642991,0.6345166679894585
d884,6,1,0,0.3208357529769425,0.24958586562001314,1.0,0.45150606162604123,0.668019539759531
all,6,1,0,0.3240027898952568,0.24660126278217576,1.0,0.4634716302490345,0.6653350211569181
a650,7,1,0,0.312947077657482,0.23806000678546557,1.0,0.45278415355346213,0.6469783255890795
38b8,7,1,0,0.33347104006349315,0.2533234390586896,0.7539267015706806,0.47961188336236904,0.6902665737764209
14df,7,1,0,0.29927944236263004,0.2392090565631598,1.0,0.43333297113326186,0.6336432910819423
d884,7,1,0,0.3218799408501067,0.2454831555343664,1.0,0.4672381899267264,0.6618965331501232
all,7,1,0,0.32295126347284925,0.24824493737656392,1.0,0.46847250379878536,0.6661240082573834
a650,8,1,0,0.30992020640690954,0.23499104088059122,1.0,0.4524598292343879,0.6456378278962601
38b8,8,1,0,0.32212206256352616,0.2508901999438399,0.7539267015706806,0.4618887963534791,0.6871112156451078
14df,8,1,0,0.29604130336022993,0.23890345097704588,1.0,0.4275386018206972,0.6356102351139061
d884,8,1,0,0.31294801804945394,0.24692865808715103,1.0,0.4504999326694401,0.6559725352156892
all,8,1,0,0.3173306001401606,0.24706899868921253,1.0,0.460600834743799,0.6619723499356954
a650,9,1,0,0.3060201815093179,0.23904252147202573,1.0,0.4317019516622399,0.6409813674694691
38b8,9,1,0,0.3203349178962114,0.2523636949336829,0.7539267015706806,0.46061751049776456,0.6738915864315406
14df,9,1,0,0.29109333382341,0.2341156019923043,1.0,0.4169839118623116,0.6220212023609448
d884,9,1,0,0.31289031004237067,0.2480924067698069,1.0,0.4552381218022593,0.6569940861305641
all,9,1,0,0.3135628396305808,0.24778766191759086,1.0,0.452399850209976,0.6598417543864434
a650,10,1,0,0.30246164139679743,0.23153308810222245,0.9973821989528796,0.42979619711160794,0.6189692085519142
38b8,10,1,0,0.31233730407245375,0.25241878473485896,0.7539267015706806,0.4554884540515285,0.6593826443327742
14df,10,1,0,0.2863827785724148,0.23885652094290977,0.9947643979057592,0.42024938474201723,0.6084374124642546
d884,10,1,0,0.3100779699341073,0.24433420568315897,1.0,0.448487091203276,0.6457840909333307
all,10,1,0,0.30941909934175976,0.2455571429257168,1.0,0.448890444408867,0.6450565020496948
a650,11,1,0,0.29563320699527057,0.2344390667539812,0.9947643979057592,0.421240597368443,0.6360548329449243
38b8,11,1,0,0.31028098108300456,0.25857874155936844,0.7539267015706806,0.44616592162079477,0.6622848647595805
14df,11,1,0,0.2904344770887886,0.24146553666871975,0.9895287958115183,0.42278042360573287,0.6335792849683717
