max_back,device,rmean,length,model,error,std,srate,q75,q90
1,a650,13,1,0,0.2973550383231275,0.23931327023654886,0.9842931937172775,0.42825694749132404,0.6442745442382397
1,38b8,13,1,0,0.3146132402966596,0.2599857783862234,0.7539267015706806,0.4537109015481031,0.6732344983064448
1,14df,13,1,0,0.2890207250881597,0.23963897281935406,0.9842931937172775,0.41688883195350657,0.622187799718454
1,d884,13,1,0,0.2975195908567202,0.2392857013567731,0.9973821989528796,0.4332207530181489,0.6189456553366167
1,all,13,1,0,0.3050457265334892,0.24442806512202941,355.25,0.44173613789581334,0.6437256270915637
2,a650,13,1,0,0.2973550383231275,0.23931327023654886,0.9842931937172775,0.42825694749132404,0.6442745442382397
2,38b8,13,1,0,0.3146132402966596,0.2599857783862234,0.7539267015706806,0.4537109015481031,0.6732344983064448
2,14df,13,1,0,0.2890207250881597,0.23963897281935406,0.9842931937172775,0.41688883195350657,0.622187799718454
2,d884,13,1,0,0.2975195908567202,0.2392857013567731,0.9973821989528796,0.4332207530181489,0.6189456553366167
2,all,13,1,0,0.3050457265334892,0.24442806512202941,355.25,0.44173613789581334,0.6437256270915637
3,a650,13,1,0,0.2973550383231275,0.23931327023654886,0.9842931937172775,0.42825694749132404,0.6442745442382397
3,38b8,13,1,0,0.3146132402966596,0.2599857783862234,0.7539267015706806,0.4537109015481031,0.6732344983064448
3,14df,13,1,0,0.2890207250881597,0.23963897281935406,0.9842931937172775,0.41688883195350657,0.622187799718454
3,d884,13,1,0,0.2975195908567202,0.2392857013567731,0.9973821989528796,0.4332207530181489,0.6189456553366167
3,all,13,1,0,0.3050457265334892,0.24442806512202941,355.25,0.44173613789581334,0.6437256270915637
4,a650,13,1,0,0.2973550383231275,0.23931327023654886,0.9842931937172775,0.42825694749132404,0.6442745442382397
4,38b8,13,1,0,0.3146132402966596,0.2599857783862234,0.7539267015706806,0.4537109015481031,0.6732344983064448
4,14df,13,1,0,0.2890207250881597,0.23963897281935406,0.9842931937172775,0.41688883195350657,0.622187799718454
4,d884,13,1,0,0.2975195908567202,0.2392857013567731,0.9973821989528796,0.4332207530181489,0.6189456553366167
4,all,13,1,0,0.3050457265334892,0.24442806512202941,355.25,0.44173613789581334,0.6437256270915637
5,a650,13,1,0,0.2973550383231275,0.23931327023654886,0.9842931937172775,0.42825694749132404,0.6442745442382397
5,38b8,13,1,0,0.3146132402966596,0.2599857783862234,0.7539267015706806,0.4537109015481031,0.6732344983064448
5,14df,13,1,0,0.2890207250881597,0.23963897281935406,0.9842931937172775,0.41688883195350657,0.622187799718454
5,d884,13,1,0,0.2975195908567202,0.2392857013567731,0.9973821989528796,0.4332207530181489,0.6189456553366167
5,all,13,1,0,0.3050457265334892,0.24442806512202941,355.25,0.44173613789581334,0.6437256270915637
1,a650,13,2,0,0.2153326428200918,0.17970032224349952,0.9738219895287958,0.30530703195086467,0.4534840320791898
1,38b8,13,2,0,0.23289983186334326,0.20242961628872894,0.7460732984293194,0.3252437972599571,0.49520575145721013
1,14df,13,2,0,0.20872157105369304,0.18284722286651975,0.9633507853403142,0.2923925082786669,0.4421208567445048
